epoch,loss,accuracy,f1
1,0.3615577285424327,0.8477934554187931,0.8465960665658093
2,0.2838797895033701,0.8834183928750126,0.8830673491920105
3,0.2507714023643054,0.8947263084158911,0.8947789557911582
4,0.2341805603815565,0.9078354848393876,0.9078170353317986
5,0.1982250028286779,0.920944661262884,0.9209209209209209
6,0.13809873341073578,0.9457620334233964,0.9461446740858506
7,0.10331547854362541,0.9612728910237166,0.9614195992423488
8,0.09441265712293564,0.9646752726908836,0.9646044319663091
9,0.07997079970421157,0.9682777944561193,0.9682587363572644
10,0.07467407838347395,0.971279895927149,0.9712338378270021
