epoch,loss,accuracy,f1,learning_rate
1,0.22067163796097689,0.9214410808106079,0.9231898238747553,0.0001
2,0.15986325022057798,0.9399549662246685,0.941320293398533,0.0001
3,0.1800881339074456,0.939704778583938,0.940449715838893,1e-05
4,0.12894485626077992,0.9559669752314236,0.95703125,1e-05
5,0.133504249828907,0.9559669752314236,0.9567992145311733,1e-05
